Objetivo 1; Objetivo 2; Porcentaje de peticiones servidas; Solucion factible
<<<<<<< HEAD
70213.0;51600.0;31.25;SI
96406.0;99195.0;87.5;SI
96406.0;99195.0;87.5;SI
70213.0;51600.0;31.25;SI
72084.0;72334.0;37.5;SI
89289.0;80350.0;68.75;SI
77338.0;86923.0;62.5;SI
89672.0;128988.0;75.0;SI
76291.0;98949.0;62.5;SI
90719.0;94178.0;75.0;SI
90719.0;94178.0;75.0;SI
71702.0;40085.0;31.25;SI
=======
70213.0;541600.0;31.25;SI
96406.0;99195.0;87.5;SI
96406.0;99195.0;87.5;SI
70213.0;541600.0;31.25;SI
72084.0;492334.0;37.5;SI
89289.0;220350.0;68.75;SI
77338.0;226923.0;62.5;SI
89672.0;198988.0;75.0;SI
76291.0;238949.0;62.5;SI
90719.0;164178.0;75.0;SI
90719.0;164178.0;75.0;SI
71702.0;530085.0;31.25;SI
>>>>>>> b48b6849250e90753977de55c98639a9a5f4977e
95459.0;103557.0;87.5;SI
95459.0;103557.0;87.5;SI
93381.0;125686.0;81.25;SI
91318.0;135063.0;81.25;SI
93381.0;125686.0;81.25;SI
<<<<<<< HEAD
77338.0;86923.0;62.5;SI
74580.0;81199.0;56.25;SI
71359.0;40596.0;31.25;SI
71359.0;40596.0;31.25;SI
74385.0;92203.0;56.25;SI
74173.0;94299.0;56.25;SI
89289.0;80350.0;68.75;SI
=======
77338.0;226923.0;62.5;SI
74580.0;291199.0;56.25;SI
71359.0;530596.0;31.25;SI
71359.0;530596.0;31.25;SI
74385.0;302203.0;56.25;SI
74173.0;304299.0;56.25;SI
89289.0;220350.0;68.75;SI
>>>>>>> b48b6849250e90753977de55c98639a9a5f4977e
92278.0;130701.0;81.25;SI
91665.0;134266.0;81.25;SI
91318.0;135063.0;81.25;SI
91665.0;134266.0;81.25;SI
92748.0;128885.0;81.25;SI
<<<<<<< HEAD
71702.0;40085.0;31.25;SI
92278.0;130701.0;81.25;SI
92748.0;128885.0;81.25;SI
92461.0;129682.0;81.25;SI
74173.0;94299.0;56.25;SI
74385.0;92203.0;56.25;SI
91395.0;134614.0;81.25;SI
92461.0;129682.0;81.25;SI
74580.0;81199.0;56.25;SI
91395.0;134614.0;81.25;SI
90719.0;94178.0;75.0;SI
95459.0;103557.0;87.5;SI
93381.0;125686.0;81.25;SI
71359.0;40596.0;31.25;SI
89289.0;80350.0;68.75;SI
91318.0;135063.0;81.25;SI
71702.0;40085.0;31.25;SI
92748.0;128885.0;81.25;SI
74173.0;94299.0;56.25;SI
74385.0;92203.0;56.25;SI
92461.0;129682.0;81.25;SI
74580.0;81199.0;56.25;SI
91395.0;134614.0;81.25;SI
90719.0;94178.0;75.0;SI
95459.0;103557.0;87.5;SI
93381.0;125686.0;81.25;SI
71359.0;40596.0;31.25;SI
89289.0;80350.0;68.75;SI
91318.0;135063.0;81.25;SI
92748.0;128885.0;81.25;SI
74173.0;94299.0;56.25;SI
=======
71702.0;530085.0;31.25;SI
92278.0;130701.0;81.25;SI
92748.0;128885.0;81.25;SI
92461.0;129682.0;81.25;SI
